title,category,skills,description
Data Scientist,Data & AI,"python,machine_learning,deep_learning,statistics,sql,pandas,numpy,scikit_learn,data_visualization,tensorflow","Analyzes complex data to extract insights and build predictive models."
Machine Learning Engineer,Data & AI,"python,machine_learning,tensorflow,pytorch,mlops,docker,kubernetes,api_development,cloud_aws,sql","Builds and deploys production-grade ML models and pipelines."
Data Analyst,Data & AI,"sql,excel,python,data_visualization,statistics,tableau,power_bi,pandas,reporting","Interprets data and creates reports to guide business decisions."
Data Engineer,Data & AI,"python,sql,spark,hadoop,kafka,airflow,cloud_aws,docker,etl,database_design","Builds and maintains data pipelines and infrastructure."
AI Research Scientist,Data & AI,"python,deep_learning,machine_learning,mathematics,research,pytorch,nlp,computer_vision,statistics","Conducts research to advance AI/ML techniques and algorithms."
Full Stack Developer,Web Development,"javascript,react,nodejs,html,css,sql,git,rest_api,docker,typescript","Builds both front-end and back-end components of web applications."
Frontend Developer,Web Development,"javascript,react,html,css,typescript,vue,tailwind,webpack,git,figma","Creates interactive user interfaces and web experiences."
Backend Developer,Web Development,"python,nodejs,java,sql,rest_api,docker,kubernetes,git,database_design,cloud_aws","Builds server-side logic, databases, and APIs."
DevOps Engineer,Infrastructure,"docker,kubernetes,linux,ci_cd,terraform,cloud_aws,git,bash,monitoring,ansible","Bridges development and operations to enable fast, reliable software delivery."
Cloud Architect,Infrastructure,"cloud_aws,cloud_azure,cloud_gcp,terraform,kubernetes,docker,networking,security,cost_optimization,architecture","Designs scalable, secure cloud infrastructure and solutions."
Cybersecurity Engineer,Security,"networking,linux,python,penetration_testing,cryptography,firewalls,siem,incident_response,security","Protects systems, networks, and data from cyber threats."
Blockchain Developer,Emerging Tech,"solidity,ethereum,web3,javascript,smart_contracts,cryptography,nodejs,react,defi","Develops decentralized applications and smart contracts on blockchain platforms."
Mobile Developer,Mobile,"swift,kotlin,react_native,flutter,java,android,ios,rest_api,git,ui_design","Builds native and cross-platform mobile applications."
Game Developer,Creative Tech,"unity,c_sharp,unreal_engine,c_plus_plus,3d_modeling,physics_simulation,opengl,game_design","Designs and develops interactive games for various platforms."
Embedded Systems Engineer,Hardware,"c,c_plus_plus,linux,rtos,microcontrollers,hardware_design,assembly,networking,debugging","Develops software for embedded hardware and IoT devices."
NLP Engineer,Data & AI,"python,nlp,transformers,pytorch,tensorflow,text_processing,machine_learning,linguistics,api_development","Builds systems that understand and generate human language."
Computer Vision Engineer,Data & AI,"python,opencv,deep_learning,pytorch,tensorflow,image_processing,machine_learning,c_plus_plus","Develops systems that can interpret and analyze visual information."
Site Reliability Engineer,Infrastructure,"linux,python,kubernetes,docker,monitoring,ci_cd,cloud_aws,bash,incident_response,git","Ensures reliability, scalability, and performance of production systems."
Quantitative Analyst,Finance & Data,"python,statistics,mathematics,machine_learning,sql,r,financial_modeling,risk_analysis,excel","Applies mathematical and statistical methods to financial and risk problems."
UI/UX Designer,Design,"figma,sketch,user_research,prototyping,html,css,accessibility,usability_testing,design_systems","Designs intuitive, user-centered digital interfaces and experiences."
